Date ,Messages (T),Tik Tok (T),Instagram (T),Snapchat (T),Messages (N),Tik Tok (N),Instagram (N),Snapchat (N)
(3/21),1.1,1.5,2.3,1.5,30,2,5,22
(3/22),56,2.5,54,1.6,156,8,34,26
(3/23),1.2,38,49,2.3,223,9,19,48
(3/24),1.5,5,42,1,240,5,52,26
(3/25),1.2,14,27,1.2,138,6,32,13
(3/26),1.1,19,36,1.1,94,8,24,29
(3/27),2.2,5,8,1.1,149,5,25,28
(3/28),1.1,3,45,20,119,7,44,13
(3/29),49,13,54,45,68,4,31,18
(3/30),25,10,40,44,49,3,36,19
(3/31),41,21,53,1.6,47,1,33,23
(4/1),20,11,36,1.2,42,4,52,21
(4/2),56,0,34,40,99,0,39,13
(4/3),27,3,1.7,1.2,21,5,149,34
(4/4),40,2,10,54,66,8,64,28
(4/5),1.3,41,51,45,168,7,38,17
(4/6),49,1.2,22,1.2,121,7,60,22
